open_covid_region_code,date,symptom:Adrenal crisis,symptom:Ageusia,symptom:Allergic conjunctivitis,symptom:Amblyopia,symptom:Amenorrhea,symptom:Angular cheilitis,symptom:Anosmia,symptom:Aphonia,symptom:Ascites,symptom:Asphyxia,symptom:Atheroma,symptom:Auditory hallucination,symptom:Balance disorder,symptom:Beau's lines,symptom:Bleeding on probing,symptom:Burning Chest Pain,symptom:Burning mouth syndrome,symptom:Cataplexy,symptom:Chancre,symptom:Chorea,symptom:Cleft lip and cleft palate,symptom:Clouding of consciousness,symptom:Compulsive hoarding,symptom:Crackles,symptom:Crepitus,symptom:Croup,symptom:Cyanosis,symptom:Depersonalization,symptom:Developmental disability,symptom:Dysautonomia,symptom:Dysgeusia,symptom:Dyspareunia,symptom:Dystonia,symptom:Dysuria,symptom:Epiphora,symptom:Esophagitis,symptom:Eye pain,symptom:Facial swelling,symptom:Fecal incontinence,symptom:Fibrocystic breast changes,symptom:Focal seizure,symptom:Gastroparesis,symptom:Generalized tonic–clonic seizure,symptom:Gingival recession,symptom:Globus pharyngis,symptom:Goitre,symptom:Grandiosity,symptom:Granuloma,symptom:Heart murmur,symptom:Hemolysis,symptom:Hemoptysis,symptom:Hepatic encephalopathy,symptom:Hepatotoxicity,symptom:Hydrocephalus,symptom:Hypercalcaemia,symptom:Hypercapnia,symptom:Hyperemesis gravidarum,symptom:Hyperlipidemia,symptom:Hypersomnia,symptom:Hyperventilation,symptom:Hypocalcaemia,symptom:Hypochondriasis,symptom:Hypomania,symptom:Impetigo,symptom:Intermenstrual bleeding,symptom:Kyphosis,symptom:Laryngitis,symptom:Leukorrhea,symptom:Malabsorption,symptom:Male infertility,symptom:Mitral insufficiency,symptom:Muscle atrophy,symptom:Myoclonus,symptom:Nasal polyp,symptom:Neck mass,symptom:Neutropenia,symptom:Night terror,symptom:Nocturnal enuresis,symptom:Nystagmus,symptom:Onychorrhexis,symptom:Osteopenia,symptom:Osteophyte,symptom:Papule,symptom:Paranoia,symptom:Pericarditis,symptom:Petechia,symptom:Photodermatitis,symptom:Photophobia,symptom:Photopsia,symptom:Pleurisy,symptom:Polycythemia,symptom:Polydipsia,symptom:Polyuria,symptom:Postural orthostatic tachycardia syndrome,symptom:Ptosis,symptom:Pulmonary edema,symptom:Rectal pain,symptom:Rectal prolapse,symptom:Renal colic,symptom:Rheum,symptom:Round ligament pain,symptom:Rumination,symptom:Sensitivity to sound,symptom:Shallow breathing,symptom:Spasticity,symptom:Splenomegaly,symptom:Sputum,symptom:Stomach rumble,symptom:Stridor,symptom:Subdural hematoma,symptom:Tachypnea,symptom:Tenderness,symptom:Thyroid nodule,symptom:Trichoptilosis,symptom:Upper respiratory tract infection,symptom:Urethritis,symptom:Urinary urgency,symptom:Vasculitis,symptom:Ventricular fibrillation,symptom:Viral pneumonia,symptom:Yawn,hospitalized_new,hospitalized_cumulative,normalized_hospitalized_new
US-AK,2019-12-30,0.06129032258064626,0.0,0.0,0.0,-0.3387096774193541,0.0,0.0,0.0,0.0,-2.3187096774193527,-1.5287096774193536,-3.7087096774193533,-1.5287096774193536,-4.6987096774193535,-0.7287096774193529,0.0,-0.5287096774193536,-0.3387096774193541,15.731290322580646,-0.5287096774193536,5.4212903225806475,0.0,0.0,-4.298709677419353,-0.13870967741935303,13.151290322580648,-2.1187096774193535,-0.5287096774193536,3.4312903225806455,0.0,-4.6987096774193535,-4.6987096774193535,2.241290322580646,2.8412903225806474,-4.4987096774193525,-3.508709677419354,2.8412903225806474,-3.9087096774193526,-0.5287096774193536,5.021290322580645,-3.1087096774193537,-1.1287096774193532,0.0,-1.1287096774193532,-4.6987096774193535,2.441290322580647,2.8412903225806474,-0.7287096774193529,3.4312903225806455,-3.508709677419354,2.441290322580647,0.0,2.0412903225806467,-4.4987096774193525,-3.308709677419353,0.0,-3.308709677419353,2.0412903225806467,-1.718709677419353,-2.518709677419354,-0.7287096774193529,-1.718709677419353,0.2612903225806473,6.601290322580647,0.0,-0.7287096774193529,1.8412903225806474,-0.13870967741935303,2.8412903225806474,5.4212903225806475,-1.1287096774193532,0.0,-2.1187096774193535,-3.1087096774193537,-0.7287096774193529,0.0,0.8512903225806472,-0.3387096774193541,0.2612903225806473,-2.9087096774193526,6.411290322580646,4.031290322580647,-1.3287096774193525,-3.9087096774193526,-4.4987096774193525,-1.5287096774193536,0.0,-1.1287096774193532,0.0,0.0,0.2612903225806473,0.0,-3.508709677419354,0.0,-1.3287096774193525,-1.3287096774193525,0.0,5.611290322580645,8.391290322580646,0.0,1.6512903225806461,1.0512903225806465,-4.4987096774193525,0.0,-3.508709677419354,-4.298709677419353,5.611290322580645,0.0,-2.3187096774193527,-2.718709677419353,-4.6987096774193535,1.6512903225806461,3.231290322580646,-0.7287096774193529,6.211290322580647,1.2512903225806475,0.0,1.4512903225806468,-2.718709677419353,0.0,1.6512903225806461,0.0,0.0,0.0
US-AK,2020-01-06,-3.1155319148936194,0.0,0.0,0.0,-0.05553191489362064,0.0,0.0,0.0,0.0,0.5244680851063794,0.5244680851063794,-4.06553191489362,-1.7755319148936195,-0.8155319148936204,-3.1155319148936194,0.0,-2.34553191489362,2.24446808510638,7.59446808510638,-1.2055319148936192,22.134468085106384,-2.7255319148936206,0.0,-4.455531914893619,0.0,12.37446808510638,-0.8155319148936204,-5.0255319148936195,7.59446808510638,-1.58553191489362,0.0,0.0,5.114468085106379,0.33446808510637993,0.13446808510638064,-1.965531914893619,-1.00553191489362,-1.00553191489362,2.0544680851063806,-1.965531914893619,-1.00553191489362,3.9644680851063807,0.0,0.5244680851063794,-4.6455319148936205,2.24446808510638,-2.34553191489362,-2.5355319148936193,5.68446808510638,0.0,0.0,0.0,-2.1555319148936203,-2.5355319148936193,-2.5355319148936193,0.0,-0.8155319148936204,1.66446808510638,-4.26553191489362,0.33446808510637993,-2.7255319148936206,-2.1555319148936203,1.8644680851063793,12.764468085106381,0.0,0.13446808510638064,-1.3955319148936205,1.4744680851063805,0.0,-1.58553191489362,-4.455531914893619,1.284468085106381,-4.26553191489362,-5.0255319148936195,-1.2055319148936192,0.0,0.7144680851063807,0.5244680851063794,-4.83553191489362,1.284468085106381,2.24446808510638,1.0944680851063797,0.5244680851063794,0.33446808510637993,-1.2055319148936192,-1.58553191489362,0.0,-4.455531914893619,2.8144680851063804,0.0,1.284468085106381,0.0,-2.92553191489362,0.0,-4.83553191489362,-4.6455319148936205,-4.26553191489362,7.784468085106381,4.154468085106378,-1.2055319148936192,5.68446808510638,0.0,-3.875531914893619,0.0,-3.1155319148936194,-1.7755319148936195,5.114468085106379,-3.49553191489362,2.8144680851063804,1.0944680851063797,-1.965531914893619,0.7144680851063807,-0.43553191489361964,-4.83553191489362,4.154468085106378,0.33446808510637993,-5.0255319148936195,2.624468085106381,-4.26553191489362,0.0,3.5844680851063817,0.0,0.0,0.0
US-AK,2020-01-13,0.0,0.0,0.0,0.0,1.2774757281553324,0.0,-5.532524271844667,0.0,0.0,2.007475728155333,-2.4025242718446673,-4.612524271844668,-1.1125242718446682,-0.9325242718446667,4.767475728155333,0.0,-1.672524271844667,-1.8525242718446684,5.137475728155334,-1.3025242718446677,6.247475728155333,-4.0625242718446675,0.0,-4.612524271844668,-2.4025242718446673,17.09747572815533,-5.162524271844667,0.0,11.217475728155332,-2.7725242718446683,-1.8525242718446684,-4.432524271844667,4.957475728155334,2.9274757281553327,-3.1425242718446675,-3.6925242718446682,2.377475728155332,-2.032524271844668,2.377475728155332,1.6474757281553316,3.4874757281553315,0.35747572815533246,0.0,-3.872524271844668,-2.592524271844667,3.2974757281553337,1.2774757281553324,5.697475728155332,3.667475728155331,0.0,-0.9325242718446667,-3.6925242718446682,-2.4025242718446673,-3.6925242718446682,0.35747572815533246,-2.592524271844667,-3.3225242718446673,-0.19252427184466825,-1.8525242718446684,2.5674757281553333,2.007475728155333,-3.5125242718446668,3.4874757281553315,19.487475728155335,0.0,0.9074757281553332,3.4874757281553315,-1.3025242718446677,-0.9325242718446667,-4.0625242718446675,-1.8525242718446684,-2.4025242718446673,-5.162524271844667,4.587475728155333,-0.9325242718446667,-2.2225242718446676,-3.872524271844668,-2.592524271844667,0.35747572815533246,0.7274757281553317,-1.8525242718446684,1.2774757281553324,1.0874757281553329,5.877475728155332,-4.612524271844668,-2.4025242718446673,0.0,-2.032524271844668,0.7274757281553317,0.0,-0.752524271844667,-4.432524271844667,-4.792524271844668,0.0,-2.032524271844668,-4.242524271844667,-4.982524271844667,5.507475728155331,-1.4825242718446674,-3.6925242718446682,2.5674757281553333,1.0874757281553329,-4.432524271844667,0.0,-3.3225242718446673,-0.5625242718446675,12.127475728155332,-4.432524271844667,2.007475728155333,-3.6925242718446682,-0.5625242718446675,-0.012524271844666757,4.767475728155333,2.377475728155332,5.507475728155331,-0.752524271844667,-5.3525242718446675,-2.592524271844667,3.2974757281553337,0.0,4.587475728155333,0.0,0.0,0.0
US-AK,2020-01-20,2.5304123711340214,-5.309587628865979,0.0,0.0,2.890412371134021,-5.309587628865979,0.0,-5.129587628865979,0.0,-0.7495876288659797,-0.9395876288659792,0.3404123711340201,0.0,-0.7495876288659797,-3.6695876288659797,0.0,-3.3095876288659785,1.0704123711340205,11.090412371134022,0.1604123711340204,2.710412371134021,-2.9395876288659792,0.0,-2.3895876288659785,-0.38958762886597853,16.74041237113402,-2.9395876288659792,-4.57958762886598,0.7004123711340213,-4.219587628865979,-3.8495876288659794,-4.7595876288659795,0.8904123711340208,-1.4795876288659784,-3.119587628865979,-2.209587628865979,-0.20958762886597881,-1.2995876288659787,1.9804123711340207,0.0,2.1604123711340204,-0.9395876288659792,0.0,2.5304123711340214,-4.399587628865978,1.800412371134021,-2.3895876288659785,-0.38958762886597853,6.720412371134021,-3.8495876288659794,1.800412371134021,0.0,-2.57958762886598,1.6104123711340215,-0.019587628865979312,0.0,5.08041237113402,-1.8495876288659794,-1.2995876288659787,-1.6595876288659799,-3.119587628865979,-0.9395876288659792,-1.2995876288659787,15.46041237113402,0.0,1.6104123711340215,-1.4795876288659784,1.0704123711340205,-1.2995876288659787,0.3404123711340201,-1.8495876288659794,-1.8495876288659794,0.0,0.0,-3.119587628865979,-0.7495876288659797,0.0,1.800412371134021,-0.5695876288659782,-3.119587628865979,2.34041237113402,8.17041237113402,-1.4795876288659784,0.8904123711340208,1.800412371134021,1.800412371134021,0.0,-4.219587628865979,3.9804123711340225,0.0,-0.20958762886597881,0.0,0.0,0.0,-2.7595876288659795,-0.20958762886597881,-3.119587628865979,-1.4795876288659784,3.6204123711340195,-0.20958762886597881,8.720412371134021,-2.57958762886598,-0.20958762886597881,0.0,-3.8495876288659794,-2.029587628865979,7.630412371134021,-3.6695876288659797,2.34041237113402,-3.8495876288659794,-2.7595876288659795,0.5204123711340216,-0.019587628865979312,-2.9395876288659792,7.630412371134021,4.710412371134019,0.0,-1.4795876288659784,0.0,0.0,-1.8495876288659794,0.0,0.0,0.0
US-AK,2020-01-27,-4.639405940594047,0.0,0.0,0.0,0.4205940594059516,-5.389405940594047,0.0,-0.8894059405940471,0.0,0.7905940594059526,-3.6994059405940476,-4.639405940594047,-0.3294059405940484,0.0,-4.449405940594048,-5.949405940594048,1.1705940594059516,0.7905940594059526,8.100594059405953,1.9205940594059516,-0.3294059405940484,0.0,0.0,-3.139405940594047,-3.519405940594048,25.910594059405952,-2.5794059405940484,-4.079405940594048,2.6705940594059534,-4.829405940594048,-3.519405940594048,-2.389405940594047,6.980594059405952,3.4205940594059534,0.0,-0.8894059405940471,-1.8294059405940484,-2.2094059405940474,3.980594059405952,-4.269405940594048,-5.019405940594048,-5.019405940594048,0.0,0.04059405940595262,-4.269405940594048,0.9805940594059521,-1.4594059405940474,1.5405940594059526,16.160594059405952,0.0,-2.019405940594048,-3.889405940594047,-0.7094059405940474,-1.2694059405940479,0.6105940594059529,0.0,-1.4594059405940474,0.6105940594059529,-5.019405940594048,-5.019405940594048,-1.8294059405940484,-3.139405940594047,-0.8894059405940471,13.350594059405953,0.0,0.4205940594059516,2.480594059405952,-3.889405940594047,2.6705940594059534,-4.079405940594048,8.480594059405952,-2.769405940594048,-0.8894059405940471,-3.519405940594048,-3.519405940594048,-0.8894059405940471,-2.769405940594048,0.23059405940595212,-0.5194059405940479,-1.2694059405940479,4.350594059405953,2.6705940594059534,1.360594059405953,2.6705940594059534,-0.3294059405940484,-1.8294059405940484,0.0,1.360594059405953,3.040594059405951,0.0,0.7905940594059526,0.0,-4.829405940594048,0.0,-3.3294059405940484,-2.389405940594047,0.0,3.790594059405951,4.170594059405953,-0.5194059405940479,6.230594059405952,-2.9494059405940476,-0.8894059405940471,0.0,0.9805940594059521,-2.5794059405940484,7.170594059405953,-5.019405940594048,-2.019405940594048,-1.639405940594047,4.730594059405952,-1.639405940594047,3.230594059405952,-2.769405940594048,7.170594059405953,3.4205940594059534,0.0,0.7905940594059526,-2.769405940594048,-2.9494059405940476,5.480594059405952,0.0,0.0,0.0
US-AK,2020-02-03,-0.9194059405940607,0.0,0.0,0.0,-0.9194059405940607,0.0,0.0,-2.0094059405940605,0.0,-2.3694059405940617,5.250594059405939,-4.1794059405940605,4.340594059405939,-2.5494059405940614,-2.729405940594061,0.0,0.7105940594059383,2.890594059405938,5.610594059405939,-5.639405940594061,-2.9194059405940607,-2.9194059405940607,0.0,-1.4594059405940616,-4.909405940594061,18.850594059405935,1.980594059405938,-2.3694059405940617,0.890594059405938,-4.729405940594061,-3.6394059405940613,-3.4594059405940616,9.240594059405938,1.0705940594059395,0.0,-2.3694059405940617,-2.189405940594062,0.3505940594059389,5.430594059405939,-3.279405940594062,-2.5494059405940614,2.5305940594059386,0.0,-3.819405940594061,0.0,0.1705940594059392,1.8005940594059382,0.7105940594059383,4.520594059405939,-3.4594059405940616,-3.4594059405940616,0.0,5.970594059405938,-2.729405940594061,-3.819405940594061,0.0,3.2505940594059393,0.890594059405938,-3.9994059405940607,-4.369405940594062,0.7105940594059383,3.2505940594059393,-3.6394059405940613,9.600594059405937,0.0,3.0705940594059395,-2.3694059405940617,3.2505940594059393,4.520594059405939,0.890594059405938,-0.18940594059406202,-2.189405940594062,0.0,-1.2794059405940619,-2.189405940594062,-4.729405940594061,-0.18940594059406202,-1.649405940594061,2.890594059405938,-3.279405940594062,2.340594059405939,-0.5594059405940612,-1.0994059405940622,1.260594059405939,-1.4594059405940616,-0.5594059405940612,0.0,-1.649405940594061,2.890594059405938,0.0,6.7005940594059386,0.0,-4.729405940594061,0.0,-0.3794059405940615,-3.4594059405940616,0.7105940594059383,1.8005940594059382,7.790594059405938,3.2505940594059393,9.78059405940594,-3.9994059405940607,-2.9194059405940607,-5.269405940594061,-4.909405940594061,3.9805940594059397,-1.0994059405940622,-2.729405940594061,-0.009405940594060525,-2.5494059405940614,1.4405940594059388,-2.9194059405940607,2.1605940594059394,-0.3794059405940615,5.790594059405938,1.8005940594059382,-5.449405940594061,-3.819405940594061,0.0,-5.0894059405940615,4.160594059405939,0.0,0.0,0.0
US-AK,2020-02-10,-3.9272277227722796,0.0,0.0,0.0,-3.7572277227722797,0.0,0.0,-3.9272277227722796,0.0,8.45277227722772,-1.8872277227722805,0.0,-0.3672277227722791,-1.207227722772279,-0.3672277227722791,0.0,-1.0472277227722806,0.6527722772277205,7.27277227722772,-1.377227722772279,0.3127722772277206,-1.5472277227722806,0.0,-3.9272277227722796,1.3327722772277202,15.922772277227722,-1.8872277227722805,-4.0972277227722795,4.892772277227721,-0.707227722772279,-2.0572277227722804,-3.7572277227722797,5.2327722772277205,2.6927722772277196,-3.24722772277228,-2.3972277227722802,-1.0472277227722806,0.14277227722772068,8.79277227722772,-2.3972277227722802,0.3127722772277206,-2.3972277227722802,0.0,0.3127722772277206,0.0,2.6927722772277196,3.2027722772277194,-4.2672277227722795,4.382772277227719,0.0,-0.19722772277227918,0.9927722772277203,-0.19722772277227918,-3.24722772277228,-0.707227722772279,-4.2672277227722795,-4.437227722772279,-1.0472277227722806,-1.7172277227722805,-0.8772277227722789,0.14277227722772068,-0.19722772277227918,-1.207227722772279,2.6927722772277196,0.0,0.48277227722772054,-4.607227722772279,6.25277227722772,0.48277227722772054,1.3327722772277202,-2.0572277227722804,-3.07722772277228,-3.7572277227722797,-1.7172277227722805,-4.437227722772279,-4.0972277227722795,-5.28722772277228,0.48277227722772054,0.6527722772277205,0.9927722772277203,5.062772277227719,3.5327722772277212,2.5227722772277197,6.082772277227722,-3.24722772277228,-0.707227722772279,0.0,-3.5872277227722797,3.5327722772277212,0.0,6.082772277227722,0.0,-2.3972277227722802,0.0,0.0,-6.12722772277228,-4.947227722772279,1.1627722772277203,7.1027722772277215,-4.2672277227722795,5.91277227722772,-5.79722772277228,-2.2272277227722803,0.0,-2.2272277227722803,0.8227722772277204,7.442772277227721,-5.45722772277228,-0.3672277227722791,-2.73722772277228,3.872772277227721,9.472772277227719,1.3327722772277202,-2.90722772277228,3.872772277227721,1.84277227722772,0.0,0.48277227722772054,-4.437227722772279,-4.607227722772279,3.5327722772277212,0.0,0.0,0.0
US-AK,2020-02-17,-1.8458095238095247,-5.655809523809524,0.0,0.0,-0.8458095238095247,-1.6758095238095247,-2.505809523809525,-4.995809523809524,0.0,0.9741904761904756,-0.35580952380952446,-1.3458095238095247,-2.1758095238095247,1.6341904761904757,-1.3458095238095247,0.0,-1.1858095238095245,8.424190476190477,6.2741904761904745,-0.35580952380952446,-3.335809523809525,-2.3458095238095247,0.0,-3.335809523809525,-3.165809523809525,15.554190476190476,-2.3458095238095247,-4.165809523809525,2.964190476190476,-2.505809523809525,-4.165809523809525,-0.6858095238095245,4.124190476190476,-1.8458095238095247,-5.325809523809524,-3.165809523809525,0.31419047619047547,-0.025809523809524393,2.624190476190476,-3.665809523809525,-3.505809523809525,2.794190476190476,0.0,-2.3458095238095247,-3.165809523809525,2.794190476190476,1.6341904761904757,2.1341904761904757,9.424190476190477,-3.835809523809525,0.31419047619047547,0.0,-0.6858095238095245,-0.18580952380952453,0.6441904761904755,0.0,-1.6758095238095247,1.4741904761904756,-1.1858095238095245,1.1341904761904757,0.0,-2.005809523809525,-1.1858095238095245,7.934190476190475,0.0,5.114190476190474,-0.025809523809524393,3.454190476190476,3.784190476190476,-1.3458095238095247,-0.35580952380952446,-2.3458095238095247,0.0,-0.18580952380952453,-0.5158095238095246,2.794190476190476,-3.005809523809525,-2.3458095238095247,-1.6758095238095247,-0.18580952380952453,8.264190476190477,-0.18580952380952453,2.964190476190476,2.294190476190476,-5.495809523809524,-0.025809523809524393,0.0,-1.0158095238095246,0.14419047619047554,0.0,0.8041904761904757,0.0,-0.8458095238095247,0.0,-2.835809523809525,-3.165809523809525,-1.6758095238095247,1.8041904761904757,6.604190476190476,-1.6758095238095247,0.8041904761904757,-2.3458095238095247,-4.665809523809524,0.0,3.124190476190476,2.624190476190476,6.2741904761904745,-2.6758095238095247,-3.005809523809525,-1.5158095238095246,-1.3458095238095247,-0.5158095238095246,5.284190476190476,3.294190476190476,6.2741904761904745,-1.8458095238095247,-5.155809523809524,-0.025809523809524393,-3.665809523809525,-1.1858095238095245,2.1341904761904757,0.0,0.0,0.0
US-AK,2020-02-24,2.218700000000002,0.0,0.0,0.0,-2.4312999999999967,0.0,0.0,0.0,0.0,0.05870000000000353,0.8887000000000018,-4.101299999999997,1.218700000000002,-3.1012999999999966,-3.4312999999999967,-5.761299999999998,2.878700000000002,0.2187000000000019,6.698700000000004,-2.7712999999999965,-1.9412999999999965,-4.761299999999998,0.0,0.0,0.05870000000000353,19.328700000000005,-0.11129999999999818,0.0,1.8887000000000018,-4.431299999999998,-4.431299999999998,-3.4312999999999967,2.718700000000002,-0.11129999999999818,-2.4312999999999967,-3.9312999999999967,4.378700000000004,-0.2812999999999981,5.038700000000004,-2.1012999999999966,-2.9312999999999967,-0.6112999999999982,0.0,0.0,0.0,5.868700000000002,-2.2712999999999965,3.048700000000002,-1.4412999999999965,-5.421299999999997,-0.7712999999999965,0.0,0.3887000000000018,-1.7712999999999965,-5.761299999999998,-5.591299999999998,-4.261299999999997,3.048700000000002,-4.261299999999997,-1.2712999999999965,-2.9312999999999967,0.05870000000000353,0.0,10.688700000000003,0.0,0.7187000000000019,-2.9312999999999967,3.708700000000002,1.218700000000002,-0.11129999999999818,-0.6112999999999982,-1.6012999999999966,-5.761299999999998,-3.2612999999999968,0.2187000000000019,-0.2812999999999981,3.878700000000004,2.218700000000002,-0.7712999999999965,-3.7612999999999968,5.538700000000004,2.878700000000002,0.8887000000000018,0.3887000000000018,-5.091299999999998,11.848700000000003,0.0,-1.6012999999999966,0.5587000000000035,0.0,-0.6112999999999982,-4.101299999999997,-2.9312999999999967,0.0,6.198700000000004,-3.1012999999999966,-4.261299999999997,1.3887000000000018,1.548700000000002,-2.6012999999999966,2.378700000000002,-5.421299999999997,-1.9412999999999965,0.0,-4.591299999999998,0.8887000000000018,4.708700000000002,-3.2612999999999968,0.05870000000000353,11.848700000000003,1.8887000000000018,-1.6012999999999966,7.028700000000002,0.5587000000000035,9.358700000000004,-1.1112999999999982,0.0,0.8887000000000018,-1.9412999999999965,1.718700000000002,-3.1012999999999966,0.0,0.0,0.0
US-AK,2020-03-02,-1.7324210526315849,0.0,-0.7224210526315851,0.0,0.45757894736841465,0.0,-5.262421052631584,-4.422421052631584,0.0,1.4675789473684162,1.6375789473684161,0.0,3.6575789473684157,0.9575789473684146,-2.9124210526315846,0.0,-1.222421052631585,0.9575789473684146,6.177578947368417,-3.4124210526315846,1.7975789473684163,0.0,0.0,0.0,0.0,21.997578947368414,-3.7524210526315844,0.0,0.0,-2.5724210526315847,-4.0824210526315845,-3.0724210526315847,0.7975789473684163,1.7975789473684163,-4.762421052631584,0.11757894736841479,-1.7324210526315849,0.0,-0.5524210526315851,0.45757894736841465,-2.402421052631585,1.4675789473684162,0.0,-0.21242105263158528,-1.7324210526315849,-1.392421052631585,1.2975789473684163,-0.21242105263158528,-0.21242105263158528,0.0,-4.252421052631584,-3.9224210526315844,-2.9124210526315846,-5.262421052631584,-0.892421052631585,0.0,-3.7524210526315844,-0.5524210526315851,-2.5724210526315847,-1.222421052631585,-3.0724210526315847,6.347578947368415,-4.422421052631584,5.507578947368415,0.0,2.977578947368416,0.11757894736841479,0.11757894736841479,-0.3824210526315852,-1.392421052631585,-5.262421052631584,-2.232421052631585,-5.262421052631584,-2.9124210526315846,-1.9024210526315848,5.677578947368417,-3.5824210526315845,0.6275789473684164,0.11757894736841479,-0.7224210526315851,-0.892421052631585,1.1275789473684164,0.11757894736841479,-0.21242105263158528,0.0,6.007578947368415,0.0,-2.9124210526315846,-1.7324210526315849,0.0,-0.7224210526315851,0.0,-3.2424210526315846,0.0,-1.222421052631585,-4.762421052631584,-5.262421052631584,-0.05242105263158514,2.137578947368416,1.1275789473684164,-0.05242105263158514,-3.7524210526315844,-2.062421052631585,-4.252421052631584,0.0,-0.3824210526315852,10.387578947368414,0.0,1.6375789473684161,11.727578947368414,-1.9024210526315848,0.6275789473684164,-1.222421052631585,1.6375789473684161,34.617578947368415,-2.062421052631585,0.0,-3.0724210526315847,0.0,6.517578947368417,-1.562421052631585,0.0,0.0,0.0
